,Name,country
0,Switzerland,CHE
1,Iceland,ISL
2,Denmark,DNK
3,Norway,NOR
4,Canada,CAN
5,Finland,FIN
6,Netherlands,NLD
7,Sweden,SWE
8,New Zealand,NZL
9,Australia,AUS
10,Israel,ISR
11,Costa Rica,CRI
12,Austria,AUT
13,Mexico,MEX
14,United States,UMI
15,Brazil,BRA
16,Luxembourg,LUX
17,Ireland,IRL
18,Belgium,BEL
20,United Kingdom,GBR
22,Venezuela,VEN
23,Singapore,SGP
24,Panama,PAN
25,Germany,DEU
26,Chile,CHL
27,Qatar,QAT
28,France,FRA
29,Argentina,ARG
30,Czech Republic,CZE
31,Uruguay,URY
32,Colombia,COL
33,Thailand,THA
34,Saudi Arabia,SAU
35,Spain,ESP
36,Malta,MLT
37,Taiwan,TWN
38,Kuwait,KWT
40,Trinidad and Tobago,TTO
41,El Salvador,SLV
42,Guatemala,GTM
43,Uzbekistan,UZB
44,Slovakia,SVK
45,Japan,JPN
46,South Korea,PRK
47,Ecuador,ECU
48,Bahrain,BHR
49,Italy,ITA
50,Bolivia,BOL
51,Moldova,MDA
52,Paraguay,PRY
53,Kazakhstan,KAZ
54,Slovenia,SVN
55,Lithuania,LTU
56,Nicaragua,NIC
57,Peru,PER
58,Belarus,BLR
59,Poland,POL
60,Malaysia,MYS
61,Croatia,HRV
62,Libya,LBY
63,Russia,RUS
64,Jamaica,JAM
65,North Cyprus,CYP
66,Cyprus,CYP
67,Algeria,DZA
68,Kosovo,XKX
69,Turkmenistan,TKM
70,Mauritius,MUS
71,Hong Kong,HKG
72,Estonia,EST
73,Indonesia,IDN
74,Vietnam,VNM
75,Turkey,TUR
76,Kyrgyzstan,KGZ
77,Nigeria,NGA
78,Bhutan,BTN
79,Azerbaijan,AZE
80,Pakistan,PAK
81,Jordan,JOR
82,Montenegro,MNE
83,China,CHN
84,Zambia,ZMB
85,Romania,ROU
86,Serbia,SRB
87,Portugal,PRT
88,Latvia,LVA
89,Philippines,PHL
91,Morocco,MAR
94,Albania,ALB
95,Bosnia and Herzegovina,BIH
97,Dominican Republic,DOM
99,Mongolia,MNG
101,Greece,GRC
102,Lebanon,LBN
103,Hungary,HUN
104,Honduras,HND
105,Tajikistan,TJK
106,Tunisia,TUN
107,Palestinian Territories,PSE
108,Bangladesh,BGD
109,Iran,IRN
110,Ukraine,UKR
111,Iraq,IRQ
112,South Africa,ZAF
113,Ghana,GHA
114,Zimbabwe,ZWE
115,Liberia,LBR
116,India,IOT
118,Haiti,HTI
119,Congo (Kinshasa),COG
120,Nepal,NPL
121,Ethiopia,ETH
122,Sierra Leone,SLE
123,Mauritania,MRT
124,Kenya,KEN
126,Armenia,ARM
127,Botswana,BWA
128,Myanmar,MMR
129,Georgia,SGS
130,Malawi,MWI
131,Sri Lanka,LKA
132,Cameroon,CMR
133,Bulgaria,BGR
134,Egypt,EGY
135,Yemen,YEM
137,Mali,MLI
138,Congo (Brazzaville),COG
140,Uganda,UGA
141,Senegal,SEN
142,Gabon,GAB
143,Niger,NER
144,Cambodia,KHM
145,Tanzania,TZA
146,Madagascar,MDG
148,Chad,TCD
149,Guinea,GNQ
150,Ivory Coast,CIV
151,Burkina Faso,BFA
152,Afghanistan,AFG
153,Rwanda,RWA
154,Benin,BEN
155,Syria,SYR
156,Burundi,BDI
157,Togo,TGO
158,Denmark,DNK
159,Switzerland,CHE
160,Iceland,ISL
161,Norway,NOR
162,Finland,FIN
163,Canada,CAN
164,Netherlands,NLD
165,New Zealand,NZL
166,Australia,AUS
167,Sweden,SWE
168,Israel,ISR
169,Austria,AUT
170,United States,UMI
171,Costa Rica,CRI
173,Germany,DEU
174,Brazil,BRA
175,Belgium,BEL
176,Ireland,IRL
177,Luxembourg,LUX
178,Mexico,MEX
179,Singapore,SGP
180,United Kingdom,GBR
181,Chile,CHL
182,Panama,PAN
183,Argentina,ARG
184,Czech Republic,CZE
186,Uruguay,URY
187,Malta,MLT
188,Colombia,COL
189,France,FRA
190,Thailand,THA
191,Saudi Arabia,SAU
192,Taiwan,TWN
193,Qatar,QAT
194,Spain,ESP
195,Algeria,DZA
196,Guatemala,GTM
198,Kuwait,KWT
199,Bahrain,BHR
200,Trinidad and Tobago,TTO
201,Venezuela,VEN
202,Slovakia,SVK
203,El Salvador,SLV
204,Malaysia,MYS
205,Nicaragua,NIC
206,Uzbekistan,UZB
207,Italy,ITA
208,Ecuador,ECU
210,Japan,JPN
211,Kazakhstan,KAZ
212,Moldova,MDA
213,Russia,RUS
214,Poland,POL
215,South Korea,PRK
216,Bolivia,BOL
217,Lithuania,LTU
218,Belarus,BLR
219,North Cyprus,CYP
220,Slovenia,SVN
221,Peru,PER
222,Turkmenistan,TKM
223,Mauritius,MUS
224,Libya,LBY
225,Latvia,LVA
226,Cyprus,CYP
227,Paraguay,PRY
228,Romania,ROU
229,Estonia,EST
230,Jamaica,JAM
231,Croatia,HRV
232,Hong Kong,HKG
234,Kosovo,XKX
235,Turkey,TUR
236,Indonesia,IDN
237,Jordan,JOR
238,Azerbaijan,AZE
239,Philippines,PHL
240,China,CHN
241,Bhutan,BTN
242,Kyrgyzstan,KGZ
243,Serbia,SRB
244,Bosnia and Herzegovina,BIH
245,Montenegro,MNE
246,Dominican Republic,DOM
247,Morocco,MAR
248,Hungary,HUN
249,Pakistan,PAK
250,Lebanon,LBN
251,Portugal,PRT
253,Vietnam,VNM
255,Tunisia,TUN
256,Greece,GRC
257,Tajikistan,TJK
258,Mongolia,MNG
260,Nigeria,NGA
261,Honduras,HND
262,Iran,IRN
263,Zambia,ZMB
264,Nepal,NPL
265,Palestinian Territories,PSE
266,Albania,ALB
267,Bangladesh,BGD
268,Sierra Leone,SLE
269,Iraq,IRQ
271,Cameroon,CMR
272,Ethiopia,ETH
273,South Africa,ZAF
274,Sri Lanka,LKA
275,India,IOT
276,Myanmar,MMR
277,Egypt,EGY
278,Armenia,ARM
279,Kenya,KEN
280,Ukraine,UKR
281,Ghana,GHA
282,Congo (Kinshasa),COG
283,Georgia,SGS
284,Congo (Brazzaville),COG
285,Senegal,SEN
286,Bulgaria,BGR
287,Mauritania,MRT
288,Zimbabwe,ZWE
289,Malawi,MWI
291,Gabon,GAB
292,Mali,MLI
293,Haiti,HTI
294,Botswana,BWA
296,Ivory Coast,CIV
297,Cambodia,KHM
299,Niger,NER
301,Chad,TCD
302,Burkina Faso,BFA
303,Uganda,UGA
304,Yemen,YEM
305,Madagascar,MDG
306,Tanzania,TZA
307,Liberia,LBR
308,Guinea,GNQ
309,Rwanda,RWA
310,Benin,BEN
311,Afghanistan,AFG
312,Togo,TGO
313,Syria,SYR
314,Burundi,BDI
315,Norway,NOR
316,Denmark,DNK
317,Iceland,ISL
318,Switzerland,CHE
319,Finland,FIN
320,Netherlands,NLD
321,Canada,CAN
322,New Zealand,NZL
323,Sweden,SWE
324,Australia,AUS
325,Israel,ISR
326,Costa Rica,CRI
327,Austria,AUT
328,United States,UMI
329,Ireland,IRL
330,Germany,DEU
331,Belgium,BEL
332,Luxembourg,LUX
333,United Kingdom,GBR
334,Chile,CHL
336,Brazil,BRA
337,Czech Republic,CZE
338,Argentina,ARG
339,Mexico,MEX
340,Singapore,SGP
341,Malta,MLT
342,Uruguay,URY
343,Guatemala,GTM
